outcome,n_raw,n_mediator,n_canonical,source,patients_raw,patients_mediator,patients_canonical,raw_before,raw_after,mediator_before,mediator_after
CARDIO-VASCULAR_DISORDER_EVENT,2854,2854,2854,mediator,1504,1504,1504,7149,7149,7149,7149
DEATH_EVENT,3098,3098,3098,mediator,3098,3098,3098,3098,3098,3098,3098
HYPERGLYCEMIA_EVENT,68525,68525,68525,mediator,41911,41911,41911,402044,402044,402044,402044
HYPEROSMOLALITY_EVENT,814,814,814,mediator,602,602,602,1525,1525,1525,1525
HYPOGLYCEMIA_EVENT,4223,4223,4223,mediator,3531,3531,3531,7564,7564,7564,7564
INFECTION_EVENT,3345,3345,3345,mediator,3234,3234,3234,3345,3345,3345,3345
KETOACIDOSIS_EVENT,1116,1116,1116,mediator,710,710,710,2597,2597,2597,2597
KIDNEY_COMPLICATION_EVENT,18206,18206,18206,mediator,9877,9877,9877,33463,33463,33463,33463
SEVERE_HYPERGLYCEMIA_EVENT,56717,56717,56717,mediator,34172,34172,34172,224187,224187,224187,224187
SEVERE_HYPOGLYCEMIA_EVENT,2908,2908,2908,mediator,2480,2480,2480,4712,4712,4712,4712
