k,target,n_pos,prevalence,n_pos_train,prevalence_train,n_scorable_train,clears_threshold,has_head
1,CARDIO-VASCULAR_DISORDER_EVENT,1036,0.020671215930404246,730,0.020782918149466194,35125,True,True
1,DEATH_EVENT,3084,0.06153477792409913,2220,0.06320284697508897,35125,True,True
1,HYPERGLYCEMIA_EVENT,23744,0.4737619218644,16671,0.4746192170818505,35125,True,True
1,HYPOGLYCEMIA_EVENT,2624,0.05235643880442156,1803,0.05133096085409253,35125,True,True
1,INFECTION_EVENT,968,0.019314417973582347,698,0.01987188612099644,35125,True,True
1,KIDNEY_COMPLICATION_EVENT,6295,0.12560357556167445,4377,0.12461209964412812,35125,True,True
1,SEVERE_HYPERGLYCEMIA_EVENT,21466,0.42830919031086634,15089,0.42958007117437724,35125,True,True
1,SEVERE_HYPOGLYCEMIA_EVENT,1799,0.03589528712239116,1235,0.03516014234875445,35125,True,True
1,HYPEROSMOLALITY_EVENT,251,0.0050081806935631905,182,0.0051814946619217084,35125,False,False
1,KETOACIDOSIS_EVENT,377,0.007522247495909653,256,0.007288256227758007,35125,False,False
2,CARDIO-VASCULAR_DISORDER_EVENT,950,0.018956022028892967,676,0.01924664749594283,35123,True,True
2,DEATH_EVENT,3084,0.061537233618006226,2220,0.06320644591862881,35123,True,True
2,HYPERGLYCEMIA_EVENT,17254,0.344281267459494,12080,0.3439341741878541,35123,True,True
2,HYPOGLYCEMIA_EVENT,2030,0.04050602601963445,1387,0.0394897930131253,35123,True,True
2,INFECTION_EVENT,569,0.011353659509936945,411,0.011701733906556957,35123,True,True
2,KIDNEY_COMPLICATION_EVENT,5513,0.11000478888977572,3826,0.10893146940751075,35123,True,True
2,SEVERE_HYPERGLYCEMIA_EVENT,15972,0.31870061457418786,11207,0.31907866640093385,35123,True,True
2,SEVERE_HYPOGLYCEMIA_EVENT,1390,0.027735653284380237,946,0.026933917945505793,35123,True,True
2,HYPEROSMOLALITY_EVENT,220,0.004389815627743635,157,0.0044700054095606866,35123,False,False
2,KETOACIDOSIS_EVENT,315,0.006285417830632932,211,0.006007459499473279,35123,False,False
