,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
ADMISSION__count,-0.0036483966,-0.019634014,0.0151175875,-0.020787837,0.008962404,0.022443343,-0.015204946,-0.011671158
ALANINE-AMINOTRANSFERASE_MEASURE__count,0.025213035,0.016637301,-0.01083523,-0.044311766,0.05191045,-0.0054353056,0.030888295,-0.0677812
ALBUMIN_SERUM_MEASURE__count,0.06319626,0.10168835,0.058233675,-0.031913556,-0.05114124,0.12932056,0.016524453,-0.0038720444
ANTIBIOTIC_IV_BITZUA__count,0.073288776,0.04534899,-0.0045586033,0.047732733,0.060627196,0.06489263,0.025999194,0.004154618
ANTIBIOTIC_PO_BITZUA__count,-0.03685243,-0.026742093,0.0395487,0.14270622,0.11182269,0.038678486,-0.019420538,0.096770905
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__count,-0.027730763,0.055867802,0.0042054183,-0.042547394,-0.084665276,-0.0069103707,0.015809968,-0.034077127
ASPARATE-AMINOTRANSFERASE_MEASURE__count,-0.026404714,-0.067887485,-0.046942387,-0.020560859,0.15064639,-0.029288396,-0.03193692,-0.03509736
BASAL_DOSAGE__count,-0.10331526,-0.038440414,-0.01396734,-0.18572706,0.004188541,-0.058425643,0.00036735064,-0.1906843
BASAL_HOME_BITZUA__count,-0.009276554,0.0059799473,-0.010502496,-0.00020158805,0.005507726,-0.012041451,-0.005881821,-0.009840829
BASE_GLUCOSE_MEASURE__count,-0.018152542,-0.009447715,-0.007505356,-0.038057834,0.007108064,-0.0068706637,0.027612126,0.0070596584
BICARBONATE_MEASURE__count,-0.027893644,-0.002051583,-0.022275172,-0.008036485,-0.17411038,-0.054710135,0.03948584,0.08469667
BLOOD_CULTURE__count,-0.057123087,0.00799657,0.026017606,-0.003907898,0.1348768,0.05554584,-0.015675118,0.036071375
BLOOD_PRESSURE_DIASTOLIC_MEASURE__count,-0.04071552,-0.011990749,0.0026344997,0.05917948,-0.049151096,0.021361172,0.023602743,0.043651633
BLOOD_PRESSURE_SYSTOLIC_MEASURE__count,-0.03197494,0.005308232,0.028361537,0.026635561,-0.042726576,0.057161808,0.034896422,0.027056798
BMI_MEASURE__count,-0.1344871,-0.04357695,0.016141677,-0.022738963,0.156109,0.042762823,0.018301688,-0.08321376
BODY_TEMPERATURE_MEASURE__count,0.034635365,-0.021531243,0.036033433,0.043563336,0.14892788,-0.04054005,0.09230553,-0.016458333
BOLUS_DOSAGE__count,0.097593755,0.035673738,-0.0036575522,-0.074191675,-0.05724708,-0.061027005,-0.0098257605,-0.08074202
CALCIUM-GLUCONATE_BITZUA__count,0.029868597,-0.011165484,0.015830694,-0.0660898,0.060791332,0.00787263,0.033505183,-0.076785594
CARDIO-VASCULAR_DISORDER_EVENT__count,0.051103577,-0.04794626,-0.012750639,-0.10030227,-0.11787204,0.05110295,-0.0483914,-0.07619077
CARDIOVASCULAR_DISORDER_OBS__count,0.01796441,0.04018477,-0.031290904,-0.010172159,0.13643357,0.015203587,-0.024471266,-0.020256685
CHEST_XRAY__count,-0.008087745,0.031262595,0.030441938,0.07802654,-0.07552931,0.06002567,0.067153394,-0.007256853
CREATINE-KINASE_MEASURE__count,0.055542562,0.057794377,-0.018602991,0.04317671,0.057165105,0.045328632,-0.0032615399,0.11566256
CREATININE_SERUM_MEASURE__count,-0.002184879,-0.01813014,0.032547787,0.016590077,-0.2061437,0.025035966,-0.0037891073,0.05308558
DEXTROSE_BITZUA__count,-0.05879569,0.009662276,-0.06868159,-0.0798945,0.20911789,-0.014801044,-0.04461473,-0.05958693
DIABETES_DIAGNOSIS__count,-0.040169504,0.06483007,0.049396873,0.009478619,-0.07144253,-0.0054191565,0.03708428,0.039901704
DIALYSIS__count,0.04250415,-0.030465929,0.03790887,-0.07184236,-0.25440684,0.08759936,0.03008664,-0.048679113
E-GFR_MEASURE__count,-0.05328322,0.12326909,0.028340105,0.18085957,0.09634685,-0.141534,0.046432417,0.24815401
EGFR_MEASURE__count,-0.004656664,0.021811208,0.021391282,0.012767548,-0.20305103,-0.0028333168,0.04602522,-0.016912775
GLUCOSE_MEASURE__count,0.018564042,-0.026700499,0.21218857,0.42995763,-0.048581343,0.08764814,0.24253437,0.29026192
HEART_RATE_MEASURE__count,0.046662148,0.1883859,-0.043832757,-0.08162096,0.15172774,-0.058558673,-0.07094166,-0.013619011
HEMATOCRIT_MEASURE__count,0.09850705,0.0034611865,0.015806084,-0.043880027,0.02761012,0.12376579,0.016137285,-0.02233073
HEMOGLOBIN_MEASURE__count,0.06652713,0.07655794,0.008767616,0.04095891,-0.032291308,-0.0042286078,-0.04395141,0.02027337
HEPARIN_IV_BITZUA__count,0.019602342,0.0062952754,0.036577944,0.013139217,-0.09024781,0.03265412,0.061997537,-0.03322961
HYPERGLYCEMIA_EVENT__count,0.046553258,-0.035625562,0.08963066,-0.08741765,0.06758809,0.07586183,0.07842909,-0.06417733
HYPERTONIC_SALINE_BITZUA__count,-0.019736566,0.08267407,0.01996387,0.06272655,-0.036454815,0.056720827,-0.027088916,0.09341946
HYPOGLYCEMIA_EVENT__count,-0.0032208858,-0.011849256,-0.005232919,0.0099125905,-0.039145313,-0.025175953,-0.0011750704,-0.011321382
INFECTION_EVENT__count,-0.011539023,-0.0071022576,-0.022938292,-0.023808612,0.020574473,-0.0041110166,0.017409157,0.009894971
INFECTION_WBC_MEASURE__count,-0.07006412,-0.07168236,0.016066011,-0.021506239,0.03891091,-0.046744682,0.0035646614,-0.10052513
KETONES_SERUM_MEASURE__count,-0.012053615,0.027151942,-0.036473036,-0.021066103,0.017017588,0.027074212,0.011209866,-0.119095266
KETONES_URINE_MEASURE__count,0.008498023,0.00039209746,-0.027386704,0.036819365,0.014713665,0.034928534,-0.021542247,-0.013903092
KIDNEY_COMPLICATION_EVENT__count,-0.039132643,-0.031937703,-0.014453004,-0.036212385,0.053747103,0.023140056,-0.019975174,-0.022345247
KIDNEY_COMPLICATION_OBS__count,-0.12376144,-0.05860111,0.050164975,-0.028118528,0.040183228,0.13962202,0.08204485,0.086745776
MEAL_Breakfast__count,-0.03643375,0.0016353204,-0.07834162,-0.112043455,-0.09543932,-0.052761704,-0.11002437,-0.07979675
MEAL_Dinner__count,-0.003779717,-0.020871451,-0.0677279,-0.13051707,-0.07654307,-0.0137713635,-0.1014446,-0.08005401
MEAL_Lunch__count,-0.036926974,-0.01553479,-0.07390601,-0.13203135,-0.07468937,-0.030981954,-0.070559606,-0.107468516
MEAL_Night-Snack__count,-0.040574256,-0.03079736,-0.060414594,-0.08991091,-0.07306374,-0.01707384,-0.07050805,-0.080630936
METFORMIN_HOME_BITZUA__count,-0.033918347,-0.018115135,0.021756113,-0.05850405,0.026422197,-0.00023009944,0.025281416,-0.009869577
METFORMIN_HOSPITAL_BITZUA__count,0.015743108,0.030241795,0.044027727,0.111046754,0.0037082003,0.032350082,0.031699907,0.12237541
NEUTROPHILS_MEASURE__count,-0.09669722,-0.1107643,-0.029587034,-0.015249749,0.0630225,-0.070099995,-0.019302528,-0.04485324
PH_MEASURE__count,-0.0378049,0.10041939,0.075369164,0.10957796,0.088369526,-0.010353132,-0.0014259154,0.099394344
PLT_MEASURE__count,0.0060999836,-0.09835812,-0.0532738,0.041533712,0.094101936,-0.011332721,-0.060810644,0.05030078
POTASSIUM_MEASURE__count,-0.04488982,0.00987625,-0.028348712,-0.09680582,0.11702383,-0.025009712,-0.013463359,-0.075911276
SEVERE_HYPERGLYCEMIA_EVENT__count,-0.036793645,0.0115608815,-0.017549723,-0.030526115,0.06615115,0.015879938,0.016650034,0.022164397
SEVERE_HYPOGLYCEMIA_EVENT__count,0.01723298,0.030640624,-0.029489899,-0.050683174,-0.010668573,0.0004999965,-0.0072181006,-0.032493766
SGLT2_HOME_BITZUA__count,-0.0069373385,0.09163272,0.004300764,-0.012226131,0.012613064,-0.015286591,0.05332579,-0.02575161
SGLT2_HOSPITAL_BITZUA__count,0.0297603,0.10099577,0.021200765,0.030671595,-0.041001126,0.0022014629,-0.048150975,0.045021273
SODIUM_MEASURE__count,-0.012201318,0.039633915,-0.055544846,-0.06629998,0.08680515,-0.041819498,-0.03971422,-0.07870675
STEROIDS_IV_BITZUA__count,0.060289882,-0.13894355,0.035874035,0.021133408,0.011102997,-0.12618932,0.047879636,0.016923076
STEROIDS_PO_BITZUA__count,0.013529954,0.10043516,0.0017668727,-0.053064406,-0.1029946,-0.026776714,0.013575799,-0.056723602
TROPONIN_MEASURE__count,0.0726089,-0.01386699,-0.016405636,0.06151507,0.116734505,-0.056389943,-0.01926986,-0.0049517774
UREA_MEASURE__count,0.022660265,0.013894412,0.047497347,0.0114459535,-0.12696944,0.010622869,0.0039550466,-0.002989
URINE_CULTURE__count,-0.051435053,-0.014360806,-0.048475046,-0.07810605,-0.012400747,-0.051288854,-0.003956895,0.007983468
WEIGHT_MEASURE__count,0.07659643,0.06874201,0.008916495,-0.033493493,-0.022491109,0.0062194057,0.014749964,0.021265527
ADMISSION__mean,-0.0068282927,0.0049305386,-0.00073930214,-0.017819503,-0.0061433143,0.02431807,0.015105982,-0.02044818
ALANINE-AMINOTRANSFERASE_MEASURE__mean,-0.0105589535,-0.032481283,-0.031444207,-0.039615832,0.015456096,0.032947388,0.02430658,-0.019698657
ALBUMIN_SERUM_MEASURE__mean,0.019725624,-0.04855082,0.0060209245,-0.030174764,-0.023642851,-0.0031812608,0.017984333,-0.027337447
ANTIBIOTIC_IV_BITZUA__mean,0.013860978,-0.05150126,0.002139961,-0.0608594,0.028555255,0.039718032,0.03819879,-0.028269786
ANTIBIOTIC_PO_BITZUA__mean,0.021810347,0.00967138,-0.025346123,0.004653906,-0.0049173418,0.023238357,0.014991801,-0.021220393
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__mean,-0.011301469,0.006185679,0.022662455,-0.008618798,0.012609991,-0.017178934,0.020795384,-0.027684402
ASPARATE-AMINOTRANSFERASE_MEASURE__mean,-0.024110895,0.018415255,0.0018689168,-0.015455184,-0.021857426,-0.028753348,0.01800267,0.0028999601
BASAL_DOSAGE__mean,-0.027625766,0.043718297,0.010251114,0.051190928,-0.014019626,0.048469998,0.02877266,0.03863362
BASAL_HOME_BITZUA__mean,0.019316316,-0.025393482,-0.0065965704,0.0026856873,0.008751242,-0.009868964,0.013984008,0.01764764
BASE_GLUCOSE_MEASURE__mean,-0.0010432035,0.004757881,-0.012934187,0.0058678794,0.031091554,-0.017892938,0.004852077,-0.0113310665
BICARBONATE_MEASURE__mean,-0.017186541,0.02757413,0.004493657,0.009429218,-0.0155819785,0.023008244,0.021353383,0.03381986
BLOOD_CULTURE__mean,-0.020089123,0.005319259,0.011374023,0.016110433,-0.024240179,-0.014765451,0.010429629,0.018003806
BLOOD_PRESSURE_DIASTOLIC_MEASURE__mean,0.008460604,0.012646957,0.015132046,0.011622719,0.061619036,0.004620961,-0.020316849,0.037549634
BLOOD_PRESSURE_SYSTOLIC_MEASURE__mean,-0.010818198,0.0051283413,0.012572672,0.0031620644,-0.08741827,0.011107951,0.020838067,0.030574156
BMI_MEASURE__mean,-0.019124424,0.002237664,-0.030169053,-0.027934527,-0.011598226,-0.0065479437,0.023838455,0.0013714043
