,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
ADMISSION__count,-0.003631823,0.010478416,0.004597144,0.0024215025,0.01935631,0.012212594,-0.019640293,-0.0110816
ALANINE-AMINOTRANSFERASE_MEASURE__count,0.02454389,0.018834237,-0.014303839,-0.07322376,0.077545226,-0.023981139,0.043659125,-0.088183805
ALBUMIN_SERUM_MEASURE__count,0.07690733,0.095420055,0.06504371,-0.032958265,-0.093909405,0.15943854,0.0439094,0.02366898
ANTIBIOTIC_IV_BITZUA__count,0.07845678,0.044842243,-0.008811412,0.04242108,0.057299726,0.06608266,0.021655718,-0.004074111
ANTIBIOTIC_PO_BITZUA__count,-0.04430337,-0.03189671,0.03822005,0.15944038,0.13029312,0.039068878,-0.02051225,0.103503965
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__count,-0.029872712,0.03340727,0.013685907,-0.08944248,-0.106029645,0.008216973,0.023383053,-0.024664382
ASPARATE-AMINOTRANSFERASE_MEASURE__count,-0.029453494,-0.07237265,-0.041768055,0.011364357,0.17718707,-0.031018224,-0.05528148,-0.0512969
BASAL_DOSAGE__count,-0.12046408,-0.031721283,0.025210457,-0.1982098,0.02277796,-0.08336303,0.028685153,-0.20457809
BASAL_HOME_BITZUA__count,-0.017391313,0.017746415,-0.017675258,0.023995997,0.010366784,0.0036129036,0.005984718,0.0006382688
BASE_GLUCOSE_MEASURE__count,-0.021803726,-0.019878183,0.0072963582,-0.018911775,-0.042236928,-0.022116492,-0.0066630268,-0.013462264
BICARBONATE_MEASURE__count,-0.029431732,-0.0035175164,-0.028241074,-0.00971551,-0.22263113,-0.06800961,0.04478063,0.06735635
BLOOD_CULTURE__count,-0.06423551,0.007448288,0.025174834,-0.004527826,0.1433604,0.056340314,-0.016910696,0.03582266
BLOOD_PRESSURE_DIASTOLIC_MEASURE__count,-0.041951105,0.01075649,0.015002489,0.03163198,-0.030269105,0.04221272,0.022765703,0.05001835
BLOOD_PRESSURE_SYSTOLIC_MEASURE__count,-0.033199556,-0.014303382,0.022343114,0.062177695,-0.061095204,0.039037034,0.041700695,0.022417523
BMI_MEASURE__count,-0.14406039,-0.042207606,0.013033905,-0.024979094,0.19027622,0.05216095,0.016087273,-0.09737903
BODY_TEMPERATURE_MEASURE__count,0.04444215,-0.01521722,0.032140728,0.033613432,0.14426672,-0.04181574,0.0890507,-0.027485542
BOLUS_DOSAGE__count,0.109067604,0.024764787,0.008011566,-0.0930791,-0.07139475,-0.046763398,-0.010465612,-0.10572044
CALCIUM-GLUCONATE_BITZUA__count,0.033318285,-0.010739084,0.017297965,-0.06914625,0.071940295,0.006028846,0.03874472,-0.07788036
